P_emaildomain,mean,count
mail.com,0.18962432915921287,559
outlook.com,0.0945839874411303,5096
live.com.mx,0.05473965287049399,749
hotmail.com,0.052950276243093924,45250
gmail.com,0.043541853692715286,228355
icloud.com,0.03143449816499123,6267
comcast.net,0.03118661257606491,7888
charter.net,0.030637254901960783,816
bellsouth.net,0.02776322682032478,1909
live.com,0.027622492601118053,3041
anonymous.com,0.02321747121466025,36998
yahoo.com,0.02275744545940912,100934
msn.com,0.021994134897360705,4092
aol.com,0.021810597758846195,28289
earthlink.net,0.021400778210116732,514
